filename,original_prediction,corrected_prediction,original_confidence,corrected_confidence,improvement,validation_reason,all_hypotheses
N_79,IR,OR,0.445,0.5498165875673294,0.10481658756732942,有效修正(改善0.105),"{'B': {'classifier_prob': 0.017139615, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20514188464730979}, 'IR': {'classifier_prob': 0.816805, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.44504150152206423}, 'NORMAL': {'classifier_prob': 9.038158e-08, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20000002711447495}, 'OR': {'classifier_prob': 0.16605529, 'physics_score': 0.5, 'alignment_score': 1.0, 'comprehensive_confidence': 0.5498165875673294}}"
N_95,IR,OR,0.4442,0.5483631879091263,0.10416318790912632,有效修正(改善0.104),"{'B': {'classifier_prob': 0.024663646, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20739909373223783}, 'IR': {'classifier_prob': 0.81412554, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.44423766136169435}, 'NORMAL': {'classifier_prob': 1.6097968e-07, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20000004829390436}, 'OR': {'classifier_prob': 0.16121063, 'physics_score': 0.5, 'alignment_score': 1.0, 'comprehensive_confidence': 0.5483631879091263}}"
N_71,IR,OR,0.4441,0.5492719605565071,0.10517196055650707,有效修正(改善0.105),"{'B': {'classifier_prob': 0.02198485, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20659545473754407}, 'IR': {'classifier_prob': 0.8137751, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.444132536649704}, 'NORMAL': {'classifier_prob': 1.261837e-07, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.2000000378551121}, 'OR': {'classifier_prob': 0.16423987, 'physics_score': 0.5, 'alignment_score': 1.0, 'comprehensive_confidence': 0.5492719605565071}}"
N_140,IR,OR,0.4414,0.5509014874696732,0.10950148746967314,有效修正(改善0.109),"{'B': {'classifier_prob': 0.025522495, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20765674840658904}, 'IR': {'classifier_prob': 0.8048054, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.44144161939620974}, 'NORMAL': {'classifier_prob': 5.2414595e-07, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20000015724378387}, 'OR': {'classifier_prob': 0.16967162, 'physics_score': 0.5, 'alignment_score': 1.0, 'comprehensive_confidence': 0.5509014874696732}}"
E_30,IR,OR,0.4408,0.5521217548847198,0.11132175488471979,有效修正(改善0.111),"{'B': {'classifier_prob': 0.023578707, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20707361213862896}, 'IR': {'classifier_prob': 0.60268044, 'physics_score': 0.5, 'alignment_score': 0.2, 'comprehensive_confidence': 0.4408041334152222}, 'NORMAL': {'classifier_prob': 1.6412574e-06, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20000049237722806}, 'OR': {'classifier_prob': 0.37373918, 'physics_score': 0.5, 'alignment_score': 0.8, 'comprehensive_confidence': 0.5521217548847198}}"
H_34,OR,IR,0.439,0.5399781161546707,0.10097811615467073,有效修正(改善0.101),"{'B': {'classifier_prob': 0.0701628, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.221048840880394}, 'IR': {'classifier_prob': 0.3332604, 'physics_score': 0.5, 'alignment_score': 0.8, 'comprehensive_confidence': 0.5399781161546707}, 'NORMAL': {'classifier_prob': 2.4001223e-05, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20000720036696296}, 'OR': {'classifier_prob': 0.5965528, 'physics_score': 0.5, 'alignment_score': 0.2, 'comprehensive_confidence': 0.43896583676338197}}"
E_199,IR,OR,0.4389,0.5553535485267639,0.11645354852676387,有效修正(改善0.116),"{'B': {'classifier_prob': 0.01910226, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20573067814111712}, 'IR': {'classifier_prob': 0.5963853, 'physics_score': 0.5, 'alignment_score': 0.2, 'comprehensive_confidence': 0.4389155900478363}, 'NORMAL': {'classifier_prob': 6.351297e-07, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20000019053891266}, 'OR': {'classifier_prob': 0.38451183, 'physics_score': 0.5, 'alignment_score': 0.8, 'comprehensive_confidence': 0.5553535485267639}}"
H_13,OR,IR,0.4362,0.5385867202281952,0.10238672022819523,有效修正(改善0.102),"{'B': {'classifier_prob': 0.083954796, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.22518643885850909}, 'IR': {'classifier_prob': 0.3286224, 'physics_score': 0.5, 'alignment_score': 0.8, 'comprehensive_confidence': 0.5385867202281952}, 'NORMAL': {'classifier_prob': 3.0114537e-05, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.2000090343612101}, 'OR': {'classifier_prob': 0.5873927, 'physics_score': 0.5, 'alignment_score': 0.2, 'comprehensive_confidence': 0.43621780633926394}}"
H_76,OR,IR,0.4358,0.5380363935232162,0.10223639352321617,有效修正(改善0.102),"{'B': {'classifier_prob': 0.08720439, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.2261613167822361}, 'IR': {'classifier_prob': 0.32678798, 'physics_score': 0.5, 'alignment_score': 0.8, 'comprehensive_confidence': 0.5380363935232162}, 'NORMAL': {'classifier_prob': 4.137494e-05, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20001241248210136}, 'OR': {'classifier_prob': 0.5859662, 'physics_score': 0.5, 'alignment_score': 0.2, 'comprehensive_confidence': 0.43578986883163456}}"
H_135,OR,IR,0.4336,0.5338742578029633,0.10027425780296328,有效修正(改善0.100),"{'B': {'classifier_prob': 0.10816764, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.23245029225945474}, 'IR': {'classifier_prob': 0.3129142, 'physics_score': 0.5, 'alignment_score': 0.8, 'comprehensive_confidence': 0.5338742578029633}, 'NORMAL': {'classifier_prob': 9.2845185e-05, 'physics_score': 0.5, 'alignment_score': 0.0, 'comprehensive_confidence': 0.20002785355536618}, 'OR': {'classifier_prob': 0.5788253, 'physics_score': 0.5, 'alignment_score': 0.2, 'comprehensive_confidence': 0.43364758849143986}}"
