Filename,Predicted_Label,Classifier_Probability,Physics_Mechanism_Score,Domain_Alignment_Score,Comprehensive_Confidence,Confidence_Level,故障类型,Is_Corrected,Original_Prediction,Confidence_Improvement
J_117,OR,0.9986,0.5,1.0,0.7996,中置信度,外圈故障,False,OR,0.0
I_188,OR,0.9984,0.5,1.0,0.7995,中置信度,外圈故障,False,OR,0.0
J_143,OR,0.9979,0.5,1.0,0.7994,中置信度,外圈故障,False,OR,0.0
I_149,OR,0.9975,0.5,1.0,0.7992,中置信度,外圈故障,False,OR,0.0
I_185,OR,0.9971,0.5,1.0,0.7991,中置信度,外圈故障,False,OR,0.0
I_159,OR,0.9966,0.5,1.0,0.799,中置信度,外圈故障,False,OR,0.0
J_159,OR,0.996,0.5,1.0,0.7988,中置信度,外圈故障,False,OR,0.0
E_121,OR,0.9958,0.5,1.0,0.7987,中置信度,外圈故障,False,OR,0.0
C_184,OR,0.9953,0.5,1.0,0.7986,中置信度,外圈故障,False,OR,0.0
J_112,OR,0.9947,0.5,1.0,0.7984,中置信度,外圈故障,False,OR,0.0
C_37,OR,0.9946,0.5,1.0,0.7984,中置信度,外圈故障,False,OR,0.0
I_189,OR,0.9945,0.5,1.0,0.7983,中置信度,外圈故障,False,OR,0.0
J_146,OR,0.9939,0.5,1.0,0.7982,中置信度,外圈故障,False,OR,0.0
C_154,OR,0.9934,0.5,1.0,0.798,中置信度,外圈故障,False,OR,0.0
J_100,OR,0.9935,0.5,1.0,0.798,中置信度,外圈故障,False,OR,0.0
C_42,OR,0.9934,0.5,1.0,0.798,中置信度,外圈故障,False,OR,0.0
E_181,OR,0.9931,0.5,1.0,0.7979,中置信度,外圈故障,False,OR,0.0
E_161,OR,0.9929,0.5,1.0,0.7979,中置信度,外圈故障,False,OR,0.0
J_178,OR,0.9928,0.5,1.0,0.7978,中置信度,外圈故障,False,OR,0.0
I_3,OR,0.9926,0.5,1.0,0.7978,中置信度,外圈故障,False,OR,0.0
J_57,OR,0.9923,0.5,1.0,0.7977,中置信度,外圈故障,False,OR,0.0
I_89,OR,0.992,0.5,1.0,0.7976,中置信度,外圈故障,False,OR,0.0
I_81,OR,0.9916,0.5,1.0,0.7975,中置信度,外圈故障,False,OR,0.0
I_30,OR,0.9917,0.5,1.0,0.7975,中置信度,外圈故障,False,OR,0.0
I_29,OR,0.9916,0.5,1.0,0.7975,中置信度,外圈故障,False,OR,0.0
I_146,OR,0.9911,0.5,1.0,0.7973,中置信度,外圈故障,False,OR,0.0
J_14,OR,0.991,0.5,1.0,0.7973,中置信度,外圈故障,False,OR,0.0
I_90,OR,0.9907,0.5,1.0,0.7972,中置信度,外圈故障,False,OR,0.0
J_47,OR,0.9907,0.5,1.0,0.7972,中置信度,外圈故障,False,OR,0.0
I_168,OR,0.9903,0.5,1.0,0.7971,中置信度,外圈故障,False,OR,0.0
C_193,OR,0.9903,0.5,1.0,0.7971,中置信度,外圈故障,False,OR,0.0
J_53,OR,0.9899,0.5,1.0,0.797,中置信度,外圈故障,False,OR,0.0
I_198,OR,0.9898,0.5,1.0,0.7969,中置信度,外圈故障,False,OR,0.0
J_125,OR,0.9896,0.5,1.0,0.7969,中置信度,外圈故障,False,OR,0.0
I_128,OR,0.9892,0.5,1.0,0.7968,中置信度,外圈故障,False,OR,0.0
C_167,OR,0.9889,0.5,1.0,0.7967,中置信度,外圈故障,False,OR,0.0
J_151,OR,0.9887,0.5,1.0,0.7966,中置信度,外圈故障,False,OR,0.0
E_44,OR,0.9882,0.5,1.0,0.7965,中置信度,外圈故障,False,OR,0.0
C_11,OR,0.9881,0.5,1.0,0.7964,中置信度,外圈故障,False,OR,0.0
I_186,OR,0.9866,0.5,1.0,0.796,中置信度,外圈故障,False,OR,0.0
E_70,OR,0.9861,0.5,1.0,0.7958,中置信度,外圈故障,False,OR,0.0
E_51,OR,0.9861,0.5,1.0,0.7958,中置信度,外圈故障,False,OR,0.0
